ShipToID,ShipToParty,Account,Channel,Address,City,ShipToCountry,Continent,Latitude,Longitude
ST0222,Nordic Foods - Amsterdam,Nordic Foods,Wholesale,374 Commerce St,Amsterdam,Netherlands,Europe,52.37372,4.94806
ST0223,Green Foods - Antwerp,Green Foods,Foodservice,571 Commerce St,Antwerp,Belgium,Europe,51.25877,4.44441
ST0224,Nordic Nutrition - Berlin,Nordic Nutrition,Wholesale,711 Commerce St,Berlin,Germany,Europe,52.56994,13.40558
ST0225,Green Foods - Toulouse,Green Foods,Retail,335 Commerce St,Toulouse,France,Europe,43.61974,1.41973
ST0226,Valley Milk Co. - Ghent,Valley Milk Co.,Key Account,727 Commerce St,Ghent,Belgium,Europe,51.07953,3.73451
ST0227,Nordic Brands - Berlin,Nordic Brands,Foodservice,443 Commerce St,Berlin,Germany,Europe,52.55289,13.3537
ST0228,Golden Foods - Naples,Golden Foods,Retail,188 Commerce St,Naples,Italy,Europe,40.84811,14.2985
ST0229,Alpine Brands - Rome,Alpine Brands,Foodservice,983 Commerce St,Rome,Italy,Europe,41.85654,12.47153
ST0230,Euro Brands - Turin,Euro Brands,Wholesale,921 Commerce St,Turin,Italy,Europe,45.09379,7.68202
ST0231,Pure Foods - Paris,Pure Foods,Manufacturing,450 Commerce St,Paris,France,Europe,48.80244,2.38701
ST0232,Green Foods - Berlin,Green Foods,Manufacturing,141 Commerce St,Berlin,Germany,Europe,52.5084,13.44326
ST0233,Valley Milk Co. - Berlin,Valley Milk Co.,Retail,29 Commerce St,Berlin,Germany,Europe,52.54672,13.39019
ST0234,Golden Brands - Paris,Golden Brands,Foodservice,440 Commerce St,Paris,France,Europe,48.82717,2.33983
ST0235,Euro Brands - Frankfurt,Euro Brands,Retail,340 Commerce St,Frankfurt,Germany,Europe,50.13376,8.65388
ST0236,Valley Milk Co. - Berlin,Valley Milk Co.,Retail,670 Commerce St,Berlin,Germany,Europe,52.55528,13.42156
ST0237,Green Milk Co. - Rome,Green Milk Co.,Retail,949 Commerce St,Rome,Italy,Europe,41.94877,12.48278
ST0238,Golden Nutrition - Toulouse,Golden Nutrition,Wholesale,140 Commerce St,Toulouse,France,Europe,43.64564,1.4698
ST0239,Alpine Nutrition - Hamburg,Alpine Nutrition,Foodservice,807 Commerce St,Hamburg,Germany,Europe,53.58791,10.03447
ST0240,Valley Nutrition - Lyon,Valley Nutrition,Foodservice,153 Commerce St,Lyon,France,Europe,45.78434,4.7865
ST0241,Pure Foods - Marseille,Pure Foods,Manufacturing,310 Commerce St,Marseille,France,Europe,43.30077,5.36127
ST0242,Green Brands - Frankfurt,Green Brands,Retail,218 Commerce St,Frankfurt,Germany,Europe,50.06367,8.72573
ST0243,Pure Nutrition - The Hague,Pure Nutrition,Manufacturing,54 Commerce St,The Hague,Netherlands,Europe,52.11691,4.33838
ST0244,Euro Foods - Brussels,Euro Foods,Key Account,573 Commerce St,Brussels,Belgium,Europe,50.82602,4.35152
ST0245,Euro Nutrition - Lyon,Euro Nutrition,Key Account,3 Commerce St,Lyon,France,Europe,45.79158,4.80244
ST0246,Golden Nutrition - Frankfurt,Golden Nutrition,Foodservice,329 Commerce St,Frankfurt,Germany,Europe,50.14949,8.71601
ST0247,Euro Dairy - Toulouse,Euro Dairy,Retail,635 Commerce St,Toulouse,France,Europe,43.56295,1.47887
ST0248,Golden Milk Co. - Brno,Golden Milk Co.,Manufacturing,521 Commerce St,Brno,Czech Republic,Europe,49.17291,16.64316
ST0249,Pure Foods - Valencia,Pure Foods,Retail,124 Commerce St,Valencia,Spain,Europe,39.44727,-0.39402
ST0250,Golden Milk Co. - Valencia,Golden Milk Co.,Foodservice,454 Commerce St,Valencia,Spain,Europe,39.50621,-0.40905
